Incident Number,Status,DateTime,Priority,Weight,Owner
3446,New,10/12/2022 10:43:12,3,1,DT
3446,In-progress,10/12/2022 15:43:12,3,1,DT
3176,New,04/12/2022 10:14:42,1,5,DT
3176,In-progress,04/12/2022 14:14:42,1,5,DT
3136,New,18/02/2023 21:25:53,4,2,DT
3136,In-progress,19/02/2023 02:25:53,4,2,DT
2856,New,06/01/2023 00:35:58,4,3,DT
2856,In-progress,06/01/2023 04:35:58,4,3,DT
3414,New,11/12/2022 09:55:42,4,5,DT
3414,In-progress,11/12/2022 11:55:42,4,5,DT
2603,New,02/02/2023 03:11:31,4,3,DT
2603,In-progress,02/02/2023 06:11:31,4,3,DT
3077,New,24/12/2022 22:21:29,2,1,DT
3077,In-progress,25/12/2022 01:21:29,2,1,DT
2973,New,20/12/2022 02:28:36,5,5,DT
2973,In-progress,20/12/2022 05:28:36,5,5,DT
3252,New,27/02/2023 01:31:05,4,1,DT
3252,In-progress,27/02/2023 06:31:05,4,1,DT
2729,New,09/02/2023 00:27:38,5,1,DT
3030,New,27/12/2022 18:00:51,5,3,DT
3030,In-progress,27/12/2022 23:00:51,5,3,DT
3035,New,09/12/2022 20:08:34,4,4,DT
3035,In-progress,10/12/2022 00:08:34,4,4,DT
3300,New,06/12/2022 13:46:44,4,3,DT
3300,In-progress,06/12/2022 16:46:44,4,3,DT
2829,New,23/01/2023 15:07:13,1,5,DT
2829,In-progress,23/01/2023 17:07:13,1,5,DT
3045,New,16/02/2023 20:27:36,1,1,DT
2961,New,06/02/2023 01:53:05,3,5,DT
2961,In-progress,06/02/2023 06:53:05,3,5,DT
2880,New,30/12/2022 19:55:04,4,4,DT
2880,In-progress,31/12/2022 00:55:04,4,4,DT
2889,New,05/02/2023 12:02:44,5,4,DT
2889,In-progress,05/02/2023 15:02:44,5,4,DT
2598,New,24/01/2023 02:44:55,4,2,DT
2598,In-progress,24/01/2023 05:44:55,4,2,DT
2677,New,27/01/2023 09:52:36,3,3,DT
2677,In-progress,27/01/2023 13:52:36,3,3,DT
3020,New,19/12/2022 04:11:53,3,3,DT
3020,In-progress,19/12/2022 09:11:53,3,3,DT
3343,New,25/02/2023 07:31:54,4,1,DT
3343,In-progress,25/02/2023 12:31:54,4,1,DT
3080,New,13/01/2023 03:29:40,4,2,DT
3080,In-progress,13/01/2023 05:29:40,4,2,DT
2913,New,13/12/2022 16:45:57,3,4,DT
2913,New,01/02/2023 00:53:07,4,2,DT
2913,In-progress,01/02/2023 04:53:07,4,2,DT
3348,New,02/12/2022 05:10:00,1,5,DT
3348,In-progress,02/12/2022 08:10:00,1,5,DT
2529,New,22/01/2023 19:56:11,2,1,DT
2529,In-progress,22/01/2023 23:56:11,2,1,DT
2541,New,21/01/2023 22:19:47,5,1,DT
2541,In-progress,22/01/2023 03:19:47,5,1,DT
2871,New,11/12/2022 07:47:44,5,5,DT
2871,In-progress,11/12/2022 12:47:44,5,5,DT
3130,New,16/01/2023 02:55:33,1,1,DT
3130,In-progress,16/01/2023 05:55:33,1,1,DT
3274,New,24/12/2022 21:59:08,1,2,DT
3274,In-progress,24/12/2022 23:59:08,1,2,DT
3298,New,03/12/2022 18:24:14,5,5,DT
3298,In-progress,03/12/2022 22:24:14,5,5,DT
3255,New,04/12/2022 03:25:58,5,1,DT
3255,In-progress,04/12/2022 05:25:58,5,1,DT
3077,New,25/01/2023 14:16:59,5,5,DT
3077,In-progress,25/01/2023 19:16:59,5,5,DT
2549,New,13/12/2022 19:31:21,3,5,DT
2549,In-progress,13/12/2022 22:31:21,3,5,DT
2685,New,09/12/2022 15:02:56,5,5,DT
2685,In-progress,09/12/2022 18:02:56,5,5,DT
2954,New,11/12/2022 16:49:27,1,3,DT
2954,In-progress,11/12/2022 18:49:27,1,3,DT
2725,New,31/12/2022 01:25:26,1,3,DT
2725,In-progress,31/12/2022 04:25:26,1,3,DT
2936,New,08/02/2023 07:51:51,2,4,DT
2936,In-progress,08/02/2023 10:51:51,2,4,DT
3383,New,19/01/2023 10:37:32,5,4,DT
3383,In-progress,19/01/2023 13:37:32,5,4,DT
2760,New,24/01/2023 16:48:07,4,5,DT
2760,In-progress,24/01/2023 20:48:07,4,5,DT
2691,New,25/12/2022 20:28:14,2,1,DT
2691,In-progress,25/12/2022 22:28:14,2,1,DT
2890,New,27/12/2022 17:18:54,1,5,DT
2890,In-progress,27/12/2022 21:18:54,1,5,DT
3248,New,26/02/2023 16:21:12,3,1,DT
3248,In-progress,26/02/2023 20:21:12,3,1,DT
3470,New,18/01/2023 17:35:28,2,4,DT
3470,In-progress,18/01/2023 22:35:28,2,4,DT
3378,New,27/12/2022 13:18:46,4,4,DT
3378,In-progress,27/12/2022 18:18:46,4,4,DT
3429,New,28/01/2023 13:52:37,4,4,DT
3429,In-progress,28/01/2023 17:52:37,4,4,DT
3279,New,27/12/2022 20:09:15,3,3,DT
3279,In-progress,27/12/2022 22:09:15,3,3,DT
3430,New,31/12/2022 04:56:28,1,5,DT
3430,In-progress,31/12/2022 09:56:28,1,5,DT
3387,New,09/02/2023 05:13:13,2,5,DT
3387,In-progress,09/02/2023 09:13:13,2,5,DT
3181,New,01/12/2022 17:43:10,4,1,DT
3181,In-progress,01/12/2022 21:43:10,4,1,DT
3106,New,21/01/2023 19:21:56,3,5,DT
3106,In-progress,21/01/2023 22:21:56,3,5,DT
2632,New,10/12/2022 03:17:22,3,4,DT
2632,In-progress,10/12/2022 06:17:22,3,4,DT
3009,New,01/02/2023 00:47:13,4,2,DT
3009,In-progress,01/02/2023 02:47:13,4,2,DT
2636,New,18/01/2023 14:25:26,2,2,DT
2636,In-progress,18/01/2023 16:25:26,2,2,DT
2578,New,05/01/2023 08:59:48,1,2,DT
2578,In-progress,05/01/2023 11:59:48,1,2,DT
3248,New,13/12/2022 05:07:32,1,3,DT
3248,In-progress,13/12/2022 09:07:32,1,3,DT
2542,New,16/01/2023 06:15:10,4,4,DT
2542,In-progress,16/01/2023 10:15:10,4,4,DT
2843,New,19/12/2022 08:26:35,3,4,DT
2843,In-progress,19/12/2022 12:26:35,3,4,DT
3353,New,17/12/2022 13:03:19,2,5,DT
3353,In-progress,17/12/2022 18:03:19,2,5,DT
3088,New,16/02/2023 20:37:04,3,2,DT
3088,In-progress,16/02/2023 22:37:04,3,2,DT
2977,New,18/02/2023 22:30:05,3,5,DT
2977,In-progress,19/02/2023 02:30:05,3,5,DT
3472,New,22/12/2022 01:04:48,1,3,DT
3472,In-progress,22/12/2022 05:04:48,1,3,DT
2675,New,18/02/2023 03:52:17,2,1,DT
2675,In-progress,18/02/2023 08:52:17,2,1,DT
3228,New,03/12/2022 10:32:02,4,3,DT
3228,In-progress,03/12/2022 14:32:02,4,3,DT
3289,New,16/01/2023 23:03:47,4,3,DT
3289,In-progress,17/01/2023 02:03:47,4,3,DT
2544,New,23/01/2023 07:24:59,1,1,DT
2544,In-progress,23/01/2023 09:24:59,1,1,DT
3266,New,24/01/2023 05:59:18,5,1,DT
3266,In-progress,24/01/2023 08:59:18,5,1,DT
3394,New,11/01/2023 22:31:24,2,3,DT
3394,In-progress,12/01/2023 02:31:24,2,3,DT
3064,New,14/12/2022 20:25:51,1,4,DT
3064,In-progress,15/12/2022 00:25:51,1,4,DT
3016,New,02/01/2023 17:16:11,5,1,DT
3016,In-progress,02/01/2023 20:16:11,5,1,DT
3331,New,17/12/2022 07:36:25,3,3,DT
3331,In-progress,17/12/2022 10:36:25,3,3,DT
3181,New,21/12/2022 15:02:46,3,4,DT
2579,New,07/02/2023 22:06:40,3,5,DT
2579,In-progress,08/02/2023 01:06:40,3,5,DT
2776,New,19/02/2023 15:24:20,4,2,DT
2776,In-progress,19/02/2023 17:24:20,4,2,DT
2595,New,03/02/2023 00:50:45,4,3,DT
2595,In-progress,03/02/2023 02:50:45,4,3,DT
2711,New,05/02/2023 19:43:19,2,3,DT
2711,In-progress,06/02/2023 00:43:19,2,3,DT
2765,New,18/12/2022 01:18:05,1,5,DT
2765,In-progress,18/12/2022 05:18:05,1,5,DT
2998,New,14/12/2022 18:26:20,5,5,DT
2998,In-progress,14/12/2022 20:26:20,5,5,DT
2540,New,02/01/2023 13:11:20,4,5,DT
2540,In-progress,02/01/2023 16:11:20,4,5,DT
3172,New,02/02/2023 09:40:16,3,2,DT
3172,In-progress,02/02/2023 14:40:16,3,2,DT
2907,New,04/02/2023 13:07:50,5,5,DT
2840,New,24/01/2023 00:22:13,3,4,DT
2840,In-progress,24/01/2023 05:22:13,3,4,DT
2921,New,09/02/2023 05:14:36,5,4,DT
2921,In-progress,09/02/2023 08:14:36,5,4,DT
3189,New,31/01/2023 07:20:54,2,3,DT
3189,In-progress,31/01/2023 10:20:54,2,3,DT
3155,New,05/02/2023 09:35:19,1,3,DT
3155,In-progress,05/02/2023 12:35:19,1,3,DT
2975,New,06/01/2023 11:19:33,1,1,DT
2975,In-progress,06/01/2023 15:19:33,1,1,DT
3207,New,02/01/2023 16:12:14,1,4,DT
3207,In-progress,02/01/2023 19:12:14,1,4,DT
3111,New,15/12/2022 06:03:36,1,3,DT
3111,In-progress,15/12/2022 08:03:36,1,3,DT
3466,New,11/12/2022 14:03:35,5,1,DT
3466,In-progress,11/12/2022 18:03:35,5,1,DT
3318,New,13/12/2022 04:20:13,3,1,DT
3318,In-progress,13/12/2022 07:20:13,3,1,DT
3325,New,03/02/2023 23:59:22,2,5,DT
3325,In-progress,04/02/2023 04:59:22,2,5,DT
3128,New,09/02/2023 01:57:00,4,3,DT
3128,In-progress,09/02/2023 04:57:00,4,3,DT
3301,New,02/12/2022 14:26:25,5,1,DT
3301,In-progress,02/12/2022 16:26:25,5,1,DT
3003,New,28/01/2023 00:41:59,4,5,DT
3003,In-progress,28/01/2023 04:41:59,4,5,DT
3388,New,19/01/2023 11:49:25,3,2,DT
3388,In-progress,19/01/2023 16:49:25,3,2,DT
2955,New,07/02/2023 13:57:35,3,2,DT
2955,In-progress,07/02/2023 18:57:35,3,2,DT
2869,New,07/02/2023 07:37:56,2,2,DT
2869,In-progress,07/02/2023 11:37:56,2,2,DT
2559,New,18/01/2023 22:57:20,4,1,DT
2559,In-progress,19/01/2023 03:57:20,4,1,DT
3162,New,29/12/2022 19:19:15,2,3,DT
3162,In-progress,29/12/2022 22:19:15,2,3,DT
2946,New,03/02/2023 10:53:40,1,2,DT
2946,In-progress,03/02/2023 12:53:40,1,2,DT
2758,New,07/12/2022 07:35:56,3,2,DT
2758,In-progress,07/12/2022 10:35:56,3,2,DT
3419,New,12/01/2023 13:53:53,1,2,DT
3419,In-progress,12/01/2023 18:53:53,1,2,DT
2856,New,05/01/2023 20:05:47,3,3,DT
2856,In-progress,05/01/2023 22:05:47,3,3,DT
2967,New,07/02/2023 01:05:15,1,5,DT
2967,In-progress,07/02/2023 05:05:15,1,5,DT
2789,New,18/02/2023 07:48:39,5,3,DT
2789,In-progress,18/02/2023 09:48:39,5,3,DT
2616,New,12/02/2023 08:07:59,3,4,DT
2616,In-progress,12/02/2023 13:07:59,3,4,DT
2854,New,21/12/2022 10:11:07,2,1,DT
2854,In-progress,21/12/2022 13:11:07,2,1,DT
3495,New,11/01/2023 17:53:12,2,5,DT
2872,New,02/12/2022 01:38:01,3,5,DT
2872,In-progress,02/12/2022 06:38:01,3,5,DT
2699,New,02/01/2023 07:59:13,4,5,DT
2699,In-progress,02/01/2023 10:59:13,4,5,DT
3333,New,14/12/2022 05:08:57,5,2,DT
3333,In-progress,14/12/2022 09:08:57,5,2,DT
3307,New,30/01/2023 14:25:58,5,5,DT
3307,In-progress,30/01/2023 18:25:58,5,5,DT
3276,New,05/01/2023 21:54:52,1,1,DT
3307,New,31/01/2023 06:07:49,1,3,DT
3307,In-progress,31/01/2023 11:07:49,1,3,DT
3364,New,24/12/2022 08:05:20,1,5,DT
3364,In-progress,24/12/2022 13:05:20,1,5,DT
2713,New,26/02/2023 13:37:41,1,4,DT
2713,In-progress,26/02/2023 15:37:41,1,4,DT
2646,New,24/12/2022 09:35:17,2,5,DT
2646,In-progress,24/12/2022 11:35:17,2,5,DT
3484,New,21/12/2022 14:37:49,4,4,DT
3484,In-progress,21/12/2022 17:37:49,4,4,DT
3286,New,11/12/2022 01:05:04,1,1,DT
3286,In-progress,11/12/2022 06:05:04,1,1,DT
2753,New,01/12/2022 05:14:02,2,3,DT
2753,In-progress,01/12/2022 09:14:02,2,3,DT
2976,New,03/01/2023 21:08:42,4,5,DT
2976,In-progress,03/01/2023 23:08:42,4,5,DT
2673,New,15/12/2022 19:18:15,5,3,DT
2673,In-progress,15/12/2022 21:18:15,5,3,DT
3161,New,12/01/2023 20:18:29,1,1,DT
3161,In-progress,12/01/2023 23:18:29,1,1,DT
3201,New,09/02/2023 02:52:34,2,1,DT
2861,New,31/01/2023 15:19:55,1,4,DT
2861,In-progress,31/01/2023 18:19:55,1,4,DT
2986,New,05/01/2023 01:08:52,4,3,DT
2986,In-progress,05/01/2023 06:08:52,4,3,DT
2994,New,25/12/2022 04:25:27,3,5,DT
2994,In-progress,25/12/2022 08:25:27,3,5,DT
2773,New,19/01/2023 04:14:24,2,3,DT
2773,In-progress,19/01/2023 06:14:24,2,3,DT
3364,New,14/01/2023 20:32:45,5,4,DT
3364,In-progress,15/01/2023 01:32:45,5,4,DT
2771,New,08/12/2022 11:56:16,3,2,DT
2771,In-progress,08/12/2022 16:56:16,3,2,DT
2552,New,07/02/2023 06:41:37,1,1,DT
2552,In-progress,07/02/2023 08:41:37,1,1,DT
2519,New,09/12/2022 10:48:11,3,3,DT
2519,In-progress,09/12/2022 14:48:11,3,3,DT
3149,New,08/12/2022 14:05:22,3,5,DT
3149,In-progress,08/12/2022 18:05:22,3,5,DT
2553,New,13/02/2023 03:35:59,1,1,DT
2553,In-progress,13/02/2023 05:35:59,1,1,DT
3444,New,21/01/2023 16:48:34,3,1,DT
3444,In-progress,21/01/2023 19:48:34,3,1,DT
2897,New,01/02/2023 05:44:52,4,1,DT
2897,In-progress,01/02/2023 08:44:52,4,1,DT
2812,New,18/01/2023 05:45:48,5,4,DT
2812,In-progress,18/01/2023 08:45:48,5,4,DT
3115,New,21/02/2023 06:17:09,1,5,DT
3115,In-progress,21/02/2023 11:17:09,1,5,DT
3197,New,30/01/2023 08:44:20,4,2,DT
3052,New,14/12/2022 15:06:30,5,2,DT
3052,In-progress,14/12/2022 20:06:30,5,2,DT
2950,New,17/12/2022 09:09:17,5,2,DT
2950,In-progress,17/12/2022 14:09:17,5,2,DT
3303,New,18/02/2023 12:58:07,2,1,DT
3035,New,13/12/2022 19:55:27,5,4,DT
3035,In-progress,13/12/2022 23:55:27,5,4,DT
2530,New,16/12/2022 19:58:31,3,1,DT
2530,In-progress,16/12/2022 21:58:31,3,1,DT
3451,New,06/01/2023 22:22:51,2,4,DT
3451,In-progress,07/01/2023 02:22:51,2,4,DT
2524,New,27/02/2023 00:35:37,4,3,DT
2524,In-progress,27/02/2023 03:35:37,4,3,DT
2587,New,05/12/2022 04:11:26,1,4,DT
2587,In-progress,05/12/2022 09:11:26,1,4,DT
2855,New,07/01/2023 01:14:00,1,5,DT
3359,New,15/12/2022 13:00:15,2,1,DT
3359,In-progress,15/12/2022 17:00:15,2,1,DT
3214,New,08/12/2022 01:13:28,4,5,DT
3214,In-progress,08/12/2022 06:13:28,4,5,DT
2903,New,15/01/2023 13:08:16,5,5,DT
3499,New,14/01/2023 08:39:13,4,3,DT
3499,In-progress,14/01/2023 13:39:13,4,3,DT
2821,New,16/12/2022 13:49:04,5,2,DT
2821,In-progress,16/12/2022 17:49:04,5,2,DT
2862,New,07/02/2023 08:41:13,1,2,DT
2862,In-progress,07/02/2023 10:41:13,1,2,DT
2699,New,30/01/2023 06:46:59,3,3,DT
2699,In-progress,30/01/2023 08:46:59,3,3,DT
3057,New,23/02/2023 15:59:08,5,4,DT
3057,In-progress,23/02/2023 20:59:08,5,4,DT
2901,New,25/02/2023 20:18:39,1,1,DT
2901,In-progress,25/02/2023 23:18:39,1,1,DT
3367,New,13/01/2023 15:30:44,5,2,DT
3367,In-progress,13/01/2023 17:30:44,5,2,DT
3420,New,27/01/2023 20:04:40,4,3,DT
3420,In-progress,28/01/2023 01:04:40,4,3,DT
2660,New,20/01/2023 03:25:02,5,2,DT
2660,In-progress,20/01/2023 05:25:02,5,2,DT
2988,New,19/12/2022 07:26:03,3,2,DT
2823,New,29/01/2023 05:12:50,4,1,DT
2823,In-progress,29/01/2023 09:12:50,4,1,DT
3266,New,25/02/2023 23:42:33,5,1,DT
3266,In-progress,26/02/2023 02:42:33,5,1,DT
2720,New,06/01/2023 09:55:35,1,3,DT
2720,In-progress,06/01/2023 13:55:35,1,3,DT
2582,New,10/01/2023 03:19:44,1,5,DT
2582,In-progress,10/01/2023 05:19:44,1,5,DT
3296,New,01/02/2023 10:39:53,1,5,DT
3296,In-progress,01/02/2023 12:39:53,1,5,DT
2845,New,29/12/2022 08:12:08,3,5,DT
2845,In-progress,29/12/2022 13:12:08,3,5,DT
2702,New,05/02/2023 19:53:44,5,3,DT
2702,In-progress,05/02/2023 22:53:44,5,3,DT
2719,New,05/12/2022 06:21:23,5,5,DT
2719,In-progress,05/12/2022 10:21:23,5,5,DT
3155,New,22/12/2022 11:48:52,4,5,DT
3155,In-progress,22/12/2022 16:48:52,4,5,DT
3052,New,31/12/2022 00:04:34,2,1,DT
3052,In-progress,31/12/2022 02:04:34,2,1,DT
2734,New,02/12/2022 20:47:00,4,2,DT
2734,In-progress,02/12/2022 23:47:00,4,2,DT
2814,New,01/01/2023 23:33:22,2,5,DT
2814,In-progress,02/01/2023 02:33:22,2,5,DT
2758,New,27/12/2022 08:28:11,5,4,DT
2758,In-progress,27/12/2022 13:28:11,5,4,DT
2556,New,06/12/2022 22:57:34,5,3,DT
2556,In-progress,07/12/2022 02:57:34,5,3,DT
3395,New,12/12/2022 20:02:23,5,3,DT
3395,In-progress,13/12/2022 00:02:23,5,3,DT
3182,New,19/02/2023 20:48:32,2,2,DT
3182,In-progress,20/02/2023 00:48:32,2,2,DT
2727,New,21/02/2023 22:08:47,2,5,DT
2727,In-progress,22/02/2023 01:08:47,2,5,DT
2955,New,25/01/2023 13:14:48,5,3,DT
2955,In-progress,25/01/2023 18:14:48,5,3,DT
2791,New,15/01/2023 05:31:37,4,1,DT
2791,In-progress,15/01/2023 09:31:37,4,1,DT
3441,New,03/12/2022 23:38:44,2,5,DT
3441,In-progress,04/12/2022 01:38:44,2,5,DT
3203,New,22/01/2023 00:28:55,3,4,DT
3203,In-progress,22/01/2023 05:28:55,3,4,DT
2848,New,03/01/2023 19:31:26,4,4,DT
2848,In-progress,04/01/2023 00:31:26,4,4,DT
3090,New,17/12/2022 03:48:23,3,4,DT
3090,In-progress,17/12/2022 05:48:23,3,4,DT
3283,New,05/02/2023 08:51:45,1,5,DT
3283,In-progress,05/02/2023 10:51:45,1,5,DT
2703,New,06/12/2022 20:22:40,5,4,DT
2614,New,01/12/2022 23:45:25,3,5,DT
2614,In-progress,02/12/2022 04:45:25,3,5,DT
2989,New,19/01/2023 04:39:01,1,2,DT
2989,In-progress,19/01/2023 06:39:01,1,2,DT
2513,New,31/12/2022 08:32:27,2,5,DT
2513,In-progress,31/12/2022 12:32:27,2,5,DT
3257,New,17/12/2022 10:58:04,2,1,DT
3257,In-progress,17/12/2022 15:58:04,2,1,DT
2928,New,22/12/2022 05:34:12,4,5,DT
2928,In-progress,22/12/2022 09:34:12,4,5,DT
2688,New,31/12/2022 22:56:43,2,2,DT
2688,In-progress,01/01/2023 00:56:43,2,2,DT
2918,New,02/02/2023 22:58:58,1,3,DT
2918,In-progress,03/02/2023 01:58:58,1,3,DT
2608,New,15/12/2022 16:09:35,4,1,DT
2608,In-progress,15/12/2022 20:09:35,4,1,DT
2765,New,10/12/2022 10:30:45,5,5,DT
2765,In-progress,10/12/2022 15:30:45,5,5,DT
3058,New,14/12/2022 07:23:55,4,2,DT
3058,In-progress,14/12/2022 12:23:55,4,2,DT
2523,New,19/12/2022 21:55:16,1,4,DT
2523,In-progress,20/12/2022 00:55:16,1,4,DT
3215,New,14/12/2022 10:08:53,4,4,DT
3215,In-progress,14/12/2022 13:08:53,4,4,DT
2945,New,05/12/2022 08:33:50,4,4,DT
2945,In-progress,05/12/2022 13:33:50,4,4,DT
2868,New,24/01/2023 00:50:54,3,3,DT
2868,In-progress,24/01/2023 03:50:54,3,3,DT
3124,New,06/12/2022 21:37:24,2,2,DT
3124,In-progress,07/12/2022 01:37:24,2,2,DT
2622,New,02/01/2023 08:33:38,2,5,DT
2622,In-progress,02/01/2023 13:33:38,2,5,DT
3238,New,18/02/2023 15:15:45,5,5,DT
3238,In-progress,18/02/2023 19:15:45,5,5,DT
3147,New,05/01/2023 16:13:39,2,5,DT
3147,In-progress,05/01/2023 20:13:39,2,5,DT
3475,New,21/01/2023 02:34:47,4,1,DT
3475,In-progress,21/01/2023 04:34:47,4,1,DT
3434,New,22/02/2023 04:56:45,3,4,DT
3434,In-progress,22/02/2023 08:56:45,3,4,DT
3496,New,31/01/2023 23:15:29,4,5,DT
3496,In-progress,01/02/2023 01:15:29,4,5,DT
2534,New,11/01/2023 17:12:38,1,5,DT
2534,In-progress,11/01/2023 22:12:38,1,5,DT
2623,New,04/12/2022 17:40:44,3,1,DT
2623,In-progress,04/12/2022 19:40:44,3,1,DT
3210,New,14/02/2023 07:30:38,1,1,DT
3210,In-progress,14/02/2023 11:30:38,1,1,DT
3002,New,14/12/2022 11:29:25,1,4,DT
3002,In-progress,14/12/2022 13:29:25,1,4,DT
2930,New,08/02/2023 16:41:43,4,4,DT
2930,In-progress,08/02/2023 19:41:43,4,4,DT
2947,New,12/12/2022 07:38:44,5,3,DT
2947,In-progress,12/12/2022 11:38:44,5,3,DT
3043,New,26/02/2023 02:22:36,2,4,DT
3043,In-progress,26/02/2023 06:22:36,2,4,DT
2914,New,02/12/2022 23:11:46,4,3,DT
2914,In-progress,03/12/2022 03:11:46,4,3,DT
2766,New,23/12/2022 11:03:04,4,2,DT
2766,In-progress,23/12/2022 15:03:04,4,2,DT
2630,New,09/01/2023 10:12:48,4,1,DT
2630,In-progress,09/01/2023 12:12:48,4,1,DT
3309,New,06/12/2022 03:30:10,5,3,DT
3309,In-progress,06/12/2022 05:30:10,5,3,DT
3454,New,08/02/2023 00:48:51,1,2,DT
3454,In-progress,08/02/2023 05:48:51,1,2,DT
3387,New,03/02/2023 03:38:31,2,3,DT
3387,In-progress,03/02/2023 05:38:31,2,3,DT
3145,New,03/01/2023 04:32:22,1,5,DT
3145,In-progress,03/01/2023 06:32:22,1,5,DT
3448,New,08/02/2023 08:58:09,2,3,DT
3448,In-progress,08/02/2023 12:58:09,2,3,DT
2976,New,28/12/2022 08:51:45,4,3,DT
2976,In-progress,28/12/2022 12:51:45,4,3,DT
3303,New,02/02/2023 00:48:55,3,4,DT
3303,In-progress,02/02/2023 03:48:55,3,4,DT
2803,New,18/01/2023 20:03:43,1,5,DT
2803,In-progress,19/01/2023 00:03:43,1,5,DT
3312,New,23/12/2022 02:55:41,4,3,DT
3312,In-progress,23/12/2022 05:55:41,4,3,DT
3081,New,11/12/2022 14:37:51,4,3,DT
3081,In-progress,11/12/2022 17:37:51,4,3,DT
3169,New,11/02/2023 00:59:08,4,2,DT
3169,In-progress,11/02/2023 04:59:08,4,2,DT
2818,New,01/02/2023 12:04:51,1,1,DT
2818,In-progress,01/02/2023 17:04:51,1,1,DT
3291,New,03/02/2023 12:06:22,2,1,DT
3291,In-progress,03/02/2023 17:06:22,2,1,DT
3490,New,23/02/2023 21:20:32,4,1,DT
3490,In-progress,24/02/2023 00:20:32,4,1,DT
2593,New,22/01/2023 20:03:37,4,2,DT
2593,In-progress,22/01/2023 23:03:37,4,2,DT
3269,New,01/01/2023 20:08:19,5,3,DT
3269,In-progress,01/01/2023 22:08:19,5,3,DT
2970,New,04/02/2023 07:58:40,4,2,DT
2970,In-progress,04/02/2023 11:58:40,4,2,DT
3385,New,16/12/2022 00:40:25,5,3,DT
3385,In-progress,16/12/2022 02:40:25,5,3,DT
3048,New,27/12/2022 01:39:07,1,4,DT
3048,In-progress,27/12/2022 06:39:07,1,4,DT
3230,New,01/01/2023 11:51:19,1,4,DT
3230,In-progress,01/01/2023 15:51:19,1,4,DT
2531,New,23/12/2022 20:48:07,4,1,DT
2531,In-progress,24/12/2022 00:48:07,4,1,DT
2628,New,10/12/2022 03:12:55,3,3,DT
2628,In-progress,10/12/2022 05:12:55,3,3,DT
3036,New,27/01/2023 06:28:19,1,3,DT
3036,In-progress,27/01/2023 08:28:19,1,3,DT
3025,New,13/01/2023 03:42:37,1,2,DT
3025,In-progress,13/01/2023 06:42:37,1,2,DT
3162,New,26/12/2022 14:27:41,5,5,DT
3162,In-progress,26/12/2022 16:27:41,5,5,DT
2723,New,10/02/2023 01:57:21,3,3,DT
2723,In-progress,10/02/2023 06:57:21,3,3,DT
2977,New,21/02/2023 13:41:26,1,2,DT
2977,In-progress,21/02/2023 17:41:26,1,2,DT
3395,New,19/01/2023 14:40:44,1,4,DT
3395,In-progress,19/01/2023 18:40:44,1,4,DT
3246,New,05/02/2023 15:59:03,1,4,DT
3246,In-progress,05/02/2023 20:59:03,1,4,DT
3119,New,24/12/2022 15:30:13,5,1,DT
3119,In-progress,24/12/2022 19:30:13,5,1,DT
3278,New,03/12/2022 01:18:41,3,2,DT
3278,In-progress,03/12/2022 04:18:41,3,2,DT
2784,New,02/02/2023 23:49:41,1,5,DT
3392,New,11/01/2023 13:14:53,5,5,DT
3392,In-progress,11/01/2023 16:14:53,5,5,DT
